Name,Club,Nationality,Position,Age,Matches,Starts,Mins,Goals,Assists,Penalty_Goals,Penalty_Attempted,xG,xA,Yellow_Cards,Red_Cards
Joscha Wosz,RB Leipzig,GER,"DF,FW",18,2,0,34,0,0,0,0,0.0,0.0,0,0
Dennis Borkowski,RB Leipzig,GER,MF,18,2,0,11,0,0,0,0,0.0,0.0,0,0
Wout Weghorst,Wolfsburg,NED,FW,27,34,33,2941,20,8,2,3,0.55,0.15,3,0
Koen Casteels,Wolfsburg,BEL,GK,28,32,32,2880,0,0,0,0,0.0,0.0,0,0
John Brooks,Wolfsburg,USA,DF,27,32,31,2774,2,0,0,0,0.05,0.02,5,0
Ridle Baku,Wolfsburg,GER,"FW,DF",22,32,31,2678,6,7,0,0,0.11,0.15,1,0
Xaver Schlager,Wolfsburg,AUT,MF,22,32,30,2626,2,4,0,0,0.1,0.11,7,0
Maximilian Arnold,Wolfsburg,GER,MF,26,30,30,2585,3,6,0,0,0.07,0.17,7,1
Maxence Lacroix,Wolfsburg,FRA,DF,20,30,29,2590,1,1,0,0,0.05,0.01,5,0
Josip Brekalo,Wolfsburg,CRO,FW,22,29,22,1814,7,3,0,0,0.18,0.17,1,0
Yannick Gerhardt,Wolfsburg,GER,"MF,FW",26,29,21,1936,2,4,0,0,0.18,0.16,3,0
Paulo Otávio,Wolfsburg,BRA,DF,25,23,19,1737,0,2,0,0,0.03,0.1,7,1
Kevin Mbabu,Wolfsburg,SUI,DF,25,22,19,1642,0,1,0,0,0.03,0.07,7,0
Renato Steffen,Wolfsburg,SUI,"FW,MF",28,21,19,1566,5,4,0,0,0.25,0.15,3,0
Jérôme Roussillon,Wolfsburg,FRA,DF,27,20,14,1229,0,2,0,0,0.04,0.11,0,0
Maximilian Philipp,Wolfsburg,GER,MF,26,24,13,1111,6,2,0,0,0.25,0.12,3,0
Admir Mehmedi,Wolfsburg,SUI,"MF,FW",29,18,8,820,0,2,0,0,0.09,0.22,0,0
Josuha Guilavogui,Wolfsburg,FRA,"MF,DF",29,20,7,747,0,1,0,0,0.04,0.02,3,0
Marin Pongračić,Wolfsburg,CRO,DF,22,10,7,575,0,0,0,0,0.0,0.0,2,1
Kevin Trapp,Eintracht Frankfurt,GER,GK,30,33,33,2970,0,0,0,0,0.0,0.0,0,0
André Silva,Eintracht Frankfurt,POR,FW,24,32,32,2760,28,7,7,7,0.79,0.18,1,0
Filip Kostić,Eintracht Frankfurt,SRB,DF,27,30,29,2534,4,14,0,0,0.14,0.41,4,0
Martin Hinteregger,Eintracht Frankfurt,AUT,DF,27,29,29,2527,2,1,0,0,0.07,0.03,4,0
Daichi Kamada,Eintracht Frankfurt,JPN,"MF,FW",23,32,28,2356,5,12,0,0,0.21,0.28,3,0
Makoto Hasebe,Eintracht Frankfurt,JPN,"DF,MF",36,29,26,2288,0,0,0,0,0.01,0.01,5,0
Djibril Sow,Eintracht Frankfurt,SUI,MF,23,28,25,2175,0,2,0,0,0.02,0.06,6,0
Obite N'Dicka,Eintracht Frankfurt,FRA,DF,20,23,23,2044,3,1,0,0,0.05,0.01,10,0
Sebastian Rode,Eintracht Frankfurt,GER,MF,29,27,19,1625,1,0,0,0,0.01,0.07,10,0
Erik Durm,Eintracht Frankfurt,GER,DF,28,21,19,1480,1,2,0,0,0.1,0.13,1,0
Stefan Ilsanker,Eintracht Frankfurt,AUT,"MF,DF",31,27,17,1578,1,0,0,0,0.07,0.01,4,0
